s,loc,scale,condition,genotype
0.7767129699546275,-0.04227256135286612,0.33321576477896103,0-125M_24hr,CantonSMH
0.7767129699546275,-0.04227256135286612,0.33321576477896103,0-125M_24hr,SS90_x_Kir
0.8409886471316226,-0.05792035001832929,0.5211626363005097,0-125M_24hr,SS90_x_Kir
0.7767129699546275,-0.04227256135286612,0.33321576477896103,0-125M_24hr,SS96xCS-Kir
0.8409886471316226,-0.05792035001832929,0.5211626363005097,0-125M_24hr,SS96xCS-Kir
0.8863026772384225,-0.034833462002102786,0.3621494831722474,0-125M_24hr,SS96xCS-Kir
0.7767129699546275,-0.04227256135286612,0.33321576477896103,0-125M_24hr,SS96xCSMH-TNT
0.8409886471316226,-0.05792035001832929,0.5211626363005097,0-125M_24hr,SS96xCSMH-TNT
0.8863026772384225,-0.034833462002102786,0.3621494831722474,0-125M_24hr,SS96xCSMH-TNT
0.8595217799274473,-0.03857030950847341,0.3924709932987812,0-125M_24hr,SS96xCSMH-TNT
